name;Alexander.Fu.Sheng;Austin.Wai;Bolo.Yeung;Bruce.Tong.Yim.Chaan;Candice.Yu.On.On;Candy.Wen.Xue.Er;Chan.Shen;Chan.Sing;Chan.Sze.Kai;Chang.Yi;Chen.Hung.Lieh;Chen.Kuan.Tai;Chen.Ping;Cheng.Lui;Cheng.Miu;Cheng.Pei.Pei;Cheung.Pooi.Saan;Chi.Kuan.Chun;Chiang.Nan;Chiang.Sheng;Chiang.Tao;Chin.Han;Chin.Ping;Chin.Siu.Ho;Ching.Li;Chiu.Hung;Chiu.Sam.Yin;Choh.Seung.Wan;Chung.Wa;Cliff.Lok;Dang.Wai.Ho;Danny.Lee.Sau.Yin;David.Chiang;Dean.Shek;Derek.Yee.Tung.Sing;Dick.Wei;Elliot.Ngok;Fan.Mei.Sheng;Fang.Mian;Fung.Hak.On;Fung.Ngai;Goo.Man.Chung;Gordon.Liu.Chia.Hui;Helen.Poon.Bing.Seung;Hsiao.Ho;Hung.Lau;Ivy.Ling.Po;James.Nam.Gung.Fan;Jason.Pai.Piao;Jimmy.Wang.Yu;Johnny.Wang.Lung.Wei;Kara.Hui;Keung.Hon;King.Lee.King.Chu;Ku.Feng;Ku.Kuan.Chung;Ku.Wen.Chung;Kwan.Fung;Lam.Chi.Tai;Lam.Fai.Wong;Lam.Jing;Lan.Wei.Lieh;Lau.Fong.Sai;Lau.Gong;Lau.Kar.Wing;Lau.Wai.Ling;Lau.Wing;Law.Hon;Leanne.Lau.Suet.Wa;Lee.Hoi.Sang;Lee.Pang.Fei;Lee.Wan.Chung;Leung.Kar.Yan;Li.Ching;Lily.Ho.Li.Li;Lily.Li.Li.Li;Ling.Yun;Lisa.Chiao.Chiao;Liu.Chia.Liang;Lo.Dik;Lo.Lieh;Lo.Meng;Lo.Wei;Lu.Feng;Lung.Tien.Hsiang;Ng.Hong.Sang;Ngaai.Fei;Norman.Chu;Ou.Yang.Sha.Fei;Philip.Kwok.Chun.Fung;Phillip.Ko.Fei;Shih.Szu;Shu.Pei.Pei;Shum.Lo;Siao.Yuk;Sun.Chien;Tang.Ching;Tang.Ti;Teresa.Ha.Ping;Ti.Lung;Tien.Feng;Tin.Ching;Tung.Lam;Tung.Li;Wai.Wang;Walter.Tso.Tat.Wah;Wang.Han.Chen;Wang.Hsieh;Wang.Kuang.Yu;Wang.Ping;Wilson.Tong;Wong.Ching.Ho;Wong.Chung;Wong.Chung.Shun;Wong.Lik;Wong.Mei.Mei;Wong.Yu;Wong.Yung;Wu.Ma;Yeung.Chi.Hing;Yeung.Jing.Jing;Yu.Tai.Ping;Yuen.Bun;Yuen.Tak;Yuen.Wah;col.names
Hung Lau;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;2.0;0.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;3.0;0.0;0.0;2.0;0.0;0.0;0.0;7.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;3.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;Hung Lau
Ivy Ling Po;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;8.0;2.0;0.0;3.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;Ivy Ling Po
James Nam Gung-Fan;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;2.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;1.0;2.0;0.0;0.0;0.0;0.0;3.0;1.0;2.0;0.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;James Nam Gung-Fan
Jason Pai Piao;1.0;2.0;0.0;0.0;0.0;2.0;6.0;0.0;2.0;0.0;0.0;3.0;0.0;0.0;6.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;1.0;3.0;0.0;0.0;1.0;0.0;0.0;4.0;1.0;0.0;0.0;5.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;22.0;0.0;2.0;2.0;3.0;0.0;10.0;8.0;0.0;8.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;0.0;2.0;1.0;0.0;0.0;2.0;0.0;6.0;1.0;0.0;2.0;2.0;1.0;0.0;3.0;1.0;5.0;3.0;0.0;2.0;4.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;6.0;0.0;7.0;4.0;0.0;3.0;1.0;4.0;Jason Pai Piao
Jimmy Wang Yu;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;0.0;0.0;5.0;4.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;1.0;2.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;4.0;3.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;8.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;Jimmy Wang Yu
Johnny Wang Lung-Wei;17.0;2.0;0.0;7.0;0.0;1.0;5.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;6.0;0.0;0.0;6.0;1.0;8.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;2.0;0.0;1.0;5.0;3.0;0.0;0.0;2.0;1.0;0.0;12.0;3.0;7.0;0.0;0.0;0.0;2.0;0.0;36.0;11.0;3.0;7.0;13.0;3.0;0.0;2.0;0.0;11.0;0.0;0.0;2.0;0.0;3.0;1.0;1.0;0.0;2.0;0.0;0.0;1.0;6.0;0.0;0.0;1.0;0.0;0.0;3.0;5.0;3.0;8.0;0.0;8.0;1.0;1.0;0.0;4.0;0.0;9.0;1.0;2.0;0.0;1.0;0.0;7.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;5.0;11.0;1.0;0.0;0.0;1.0;6.0;2.0;0.0;3.0;3.0;3.0;2.0;3.0;3.0;Johnny Wang Lung-Wei
Kara Hui;7.0;0.0;0.0;3.0;2.0;0.0;5.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;2.0;2.0;1.0;0.0;2.0;5.0;2.0;0.0;0.0;0.0;0.0;0.0;9.0;2.0;8.0;0.0;0.0;0.0;2.0;0.0;11.0;24.0;2.0;6.0;6.0;7.0;0.0;1.0;0.0;9.0;0.0;0.0;1.0;0.0;1.0;3.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;2.0;0.0;5.0;0.0;7.0;3.0;0.0;3.0;3.0;1.0;2.0;2.0;1.0;4.0;1.0;2.0;0.0;2.0;0.0;3.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;4.0;9.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;2.0;1.0;1.0;1.0;1.0;Kara Hui
Keung Hon;1.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;2.0;9.0;0.0;2.0;2.0;0.0;3.0;0.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;Keung Hon
King Lee King-Chu;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;7.0;6.0;0.0;7.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;King Lee King-Chu
Ku Feng;10.0;2.0;2.0;6.0;2.0;1.0;11.0;6.0;1.0;5.0;5.0;8.0;3.0;9.0;17.0;7.0;3.0;1.0;3.0;5.0;3.0;3.0;5.0;1.0;10.0;1.0;4.0;3.0;5.0;5.0;5.0;5.0;17.0;2.0;10.0;5.0;16.0;14.0;6.0;0.0;3.0;2.0;4.0;1.0;2.0;4.0;2.0;2.0;10.0;5.0;13.0;6.0;2.0;1.0;84.0;12.0;1.0;5.0;1.0;4.0;1.0;6.0;1.0;6.0;5.0;6.0;5.0;2.0;2.0;3.0;0.0;5.0;1.0;7.0;5.0;7.0;4.0;5.0;4.0;0.0;21.0;5.0;3.0;5.0;4.0;1.0;9.0;7.0;3.0;5.0;2.0;8.0;2.0;5.0;1.0;6.0;3.0;9.0;3.0;30.0;10.0;4.0;2.0;3.0;4.0;2.0;0.0;7.0;6.0;4.0;1.0;8.0;10.0;3.0;1.0;1.0;8.0;3.0;8.0;16.0;1.0;0.0;5.0;2.0;8.0;Ku Feng
Ku Kuan-Chung;4.0;2.0;0.0;2.0;6.0;2.0;5.0;0.0;4.0;0.0;0.0;3.0;4.0;0.0;14.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;3.0;3.0;0.0;2.0;4.0;4.0;0.0;9.0;3.0;9.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;8.0;0.0;3.0;7.0;2.0;0.0;12.0;33.0;1.0;7.0;1.0;6.0;0.0;0.0;1.0;0.0;0.0;7.0;9.0;0.0;3.0;1.0;0.0;0.0;1.0;0.0;0.0;2.0;4.0;0.0;0.0;0.0;12.0;4.0;0.0;2.0;2.0;0.0;11.0;8.0;2.0;2.0;2.0;1.0;0.0;3.0;1.0;6.0;3.0;0.0;5.0;9.0;0.0;2.0;0.0;0.0;3.0;2.0;0.0;2.0;0.0;0.0;0.0;3.0;4.0;0.0;2.0;3.0;1.0;6.0;0.0;10.0;4.0;0.0;4.0;3.0;6.0;Ku Kuan-Chung
Ku Wen-Chung;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;6.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;Ku Wen-Chung
Kwan Fung;1.0;1.0;0.0;0.0;0.0;2.0;3.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;4.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;8.0;0.0;2.0;1.0;3.0;0.0;5.0;7.0;0.0;18.0;1.0;4.0;0.0;0.0;2.0;0.0;0.0;0.0;3.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;1.0;3.0;1.0;2.0;2.0;0.0;1.0;2.0;1.0;0.0;2.0;1.0;3.0;1.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;2.0;1.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;6.0;2.0;1.0;0.0;3.0;4.0;1.0;0.0;5.0;2.0;Kwan Fung
Lam Chi-Tai;1.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;8.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;6.0;5.0;0.0;1.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;6.0;0.0;0.0;0.0;Lam Chi-Tai
Lam Fai-Wong;4.0;2.0;0.0;2.0;1.0;1.0;6.0;0.0;1.0;0.0;0.0;2.0;2.0;0.0;9.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;5.0;1.0;5.0;0.0;0.0;0.0;4.0;0.0;11.0;9.0;5.0;4.0;4.0;6.0;0.0;4.0;0.0;22.0;0.0;0.0;2.0;0.0;1.0;3.0;3.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;3.0;0.0;3.0;2.0;0.0;2.0;1.0;1.0;3.0;3.0;1.0;2.0;0.0;1.0;0.0;4.0;0.0;3.0;1.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;0.0;0.0;0.0;2.0;8.0;1.0;0.0;0.0;4.0;2.0;1.0;0.0;4.0;2.0;1.0;2.0;3.0;1.0;Lam Fai-Wong
Lam Jing;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0;1.0;0.0;0.0;2.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;7.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;Lam Jing
Lan Wei-Lieh;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;4.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;3.0;0.0;0.0;3.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;3.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;4.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;Lan Wei-Lieh
Lau Fong-Sai;2.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;5.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;1.0;1.0;0.0;2.0;6.0;2.0;0.0;0.0;11.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;5.0;0.0;9.0;3.0;0.0;1.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;5.0;7.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;8.0;1.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;0.0;0.0;Lau Fong-Sai
Lau Gong;0.0;0.0;2.0;1.0;0.0;0.0;2.0;5.0;0.0;0.0;1.0;1.0;0.0;4.0;4.0;2.0;3.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;2.0;1.0;1.0;0.0;0.0;3.0;0.0;0.0;7.0;2.0;0.0;0.0;2.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;12.0;3.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0;3.0;2.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;4.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;5.0;0.0;0.0;2.0;3.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;Lau Gong
Lau Kar-Wing;4.0;0.0;2.0;3.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;3.0;0.0;3.0;2.0;2.0;1.0;1.0;1.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;0.0;5.0;0.0;1.0;0.0;0.0;2.0;0.0;2.0;3.0;1.0;0.0;1.0;5.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;0.0;3.0;14.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;4.0;0.0;1.0;3.0;1.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;4.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;3.0;3.0;3.0;0.0;0.0;0.0;1.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;Lau Kar-Wing
Lau Wai-Ling;3.0;0.0;0.0;1.0;2.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;2.0;0.0;3.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;3.0;0.0;0.0;6.0;7.0;1.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;10.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;2.0;0.0;2.0;0.0;0.0;5.0;3.0;1.0;2.0;0.0;2.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;4.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;1.0;3.0;0.0;3.0;Lau Wai-Ling
Lau Wing;1.0;1.0;0.0;0.0;1.0;1.0;3.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;7.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;2.0;1.0;0.0;5.0;9.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;17.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;6.0;2.0;0.0;0.0;1.0;0.0;4.0;6.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;4.0;1.0;0.0;2.0;6.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;1.0;0.0;1.0;3.0;0.0;4.0;0.0;5.0;4.0;0.0;3.0;2.0;3.0;Lau Wing
Law Hon;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;4.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;8.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0;2.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;Law Hon
Leanne Lau Suet-Wa;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;1.0;0.0;1.0;2.0;3.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;2.0;0.0;1.0;2.0;0.0;0.0;2.0;1.0;Leanne Lau Suet-Wa
